ID,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000023015,-0.206628808,0.406154955,0.436683492,0.508727551,0.776799692
ENSMUSG00000070576,-0.147961686,3.031137129,0.436669636,0.508734276,0.776799692
ENSMUSG00000034518,0.118427861,1.70216819,0.43654824,0.508793196,0.776826656
ENSMUSG00000029092,-0.114988018,2.077624513,0.43628221,0.508922354,0.776960847
ENSMUSG00000038704,-0.078925931,4.755707123,0.435912894,0.509101753,0.77717171
ENSMUSG00000027378,-0.163665953,0.300243851,0.43558695,0.509260174,0.777350519
ENSMUSG00000032293,0.110192023,4.553912524,0.43548039,0.509311984,0.777366577
ENSMUSG00000055541,0.167403557,0.595631442,0.435388855,0.509356497,0.777371495
ENSMUSG00000081871,-0.22533136,-0.250556716,0.435231669,0.509432951,0.777425157
ENSMUSG00000042429,-0.140472678,3.227302443,0.435111256,0.509491532,0.777451537
ENSMUSG00000052912,0.092503865,3.068169777,0.434956991,0.509566598,0.777503067
ENSMUSG00000001445,0.077598284,3.679518769,0.434842581,0.509622284,0.777525019
ENSMUSG00000053012,0.091320346,4.53492496,0.434305336,0.509883912,0.777861146
ENSMUSG00000034252,-0.083536571,4.378254911,0.434042844,0.510011825,0.777993245
ENSMUSG00000091993,0.234632787,-0.472465459,0.433872891,0.510094673,0.777995289
ENSMUSG00000022215,0.217777166,1.952120644,0.43386261,0.510099685,0.777995289
ENSMUSG00000051190,0.128630364,2.289824226,0.433703172,0.51017743,0.777995289
ENSMUSG00000067235,-0.160164062,9.070390785,0.433701063,0.510178459,0.777995289
ENSMUSG00000020844,-0.186976432,-0.575326282,0.433523604,0.510265015,0.778034159
ENSMUSG00000029614,0.085661085,6.08877858,0.433402381,0.510324157,0.778034159
ENSMUSG00000015092,0.096670172,4.233158951,0.43339466,0.510327924,0.778034159
ENSMUSG00000047221,0.119026814,1.659535905,0.433212043,0.510417042,0.778099304
ENSMUSG00000012609,0.159518755,1.623943742,0.433137736,0.510453312,0.778099304
ENSMUSG00000109712,-0.134783033,1.722479072,0.433049542,0.510496366,0.778101933
ENSMUSG00000078624,0.116221544,3.054204259,0.432647879,0.510692527,0.77824915
